specimen.id,treatment,sex,Csize,curvature
T420n1,dmrt93B,female,243.925307329017,0.048052553630083
T420n10,dmrt93B,male,246.076772121584,0.0651796770220096
T420n11,dmrt93B,female,276.289703029266,0.0825479545697063
T420n12,dmrt93B,female,274.632683981916,0.0853384539681135
T420n13,dmrt93B,female,288.487242159664,0.0823141527582674
T420n14,dmrt93B,male,266.071001384551,0.0664199488513569
T420n15,dmrt93B,male,251.282930401393,0.0555318186490389
T420n2,dmrt93B,female,267.111295988104,0.0824409084363264
T420n3,dmrt93B,male,235.758822151414,0.0651219458817636
T420n4,dmrt93B,female,265.433816819016,0.10069309450733
T420n5,dmrt93B,female,258.886504519301,0.0852266441082935
T420n6,dmrt93B,male,220.782446967346,0.0638078808813413
T420n7,dmrt93B,female,270.467907317835,0.0950998699696718
T420n8,dmrt93B,male,211.441612639413,0.0685038958026303
T420n9,dmrt93B,male,249.165719061743,0.0728644651414154
T430n1,dmrt93B,male,303.457117600201,0.040412310914013
T430n10,dmrt93B,female,290.972316361693,0.0676906956961652
T430n11,dmrt93B,female,290.735465863921,0.0482961632186018
T430n12,dmrt93B,female,268.483808740035,0.0504606322106966
T430n13,dmrt93B,female,285.831341100929,0.0646643887543151
T430n14,dmrt93B,female,295.613862252019,0.0546385175132392
T430n15,dmrt93B,male,192.106721193987,0.0118440521623598
T430n16,dmrt93B,female,279.693483021047,0.0664385075486923
T430n17,dmrt93B,female,280.020634160334,0.0714247032805233
T430n2,dmrt93B,male,258.967179387659,0.049395433853371
T430n3,dmrt93B,male,301.675322159437,0.0373721730414572
T430n4,dmrt93B,male,281.023526100969,0.0150949556952076
T430n5,dmrt93B,male,254.94748914673,0.0330034802391436
T430n6,dmrt93B,female,275.004449503855,0.0246793552178907
T430n7,dmrt93B,female,294.26367616665,0.0646493269510262
T430n8,dmrt93B,male,270.060075621045,0.0265943684824135
T430n9,dmrt93B,male,267.912091718326,0.0428599272696187
T003F,fru,female,289.888418552917,0.0533352247595548
T003I,fru,female,528.646421452835,0.0614300586360457
T003K,fru,female,502.787783816946,0.066921788700375
T003H,fru,male,729.17095126784,0.0349635274335528
T003o,fru,male,803.529741438244,0.0364583801772892
T003P,fru,female,755.401827105991,0.0232822818075372
T008D,fru,male,642.389410114437,0.0179590142920795
T022N,fru,female,925.789400911731,0.055478790169438
T422n1,fru,female,253.509319966304,0.0691665697160117
T422n2,fru,female,270.284269651212,0.0549561403873716
T423n1,fru,male,277.865911887171,0.042385280219525
T423n2,fru,male,248.59432390454,0.0222818422358774
T423n3,fru,female,258.567658794023,0.0606925555823444
T423n4,fru,female,252.739608646704,0.0820502057735523
T423n5,fru,female,296.545226914884,0.0700365659126545
T424n1a,fru,male,274.538805190734,0.0465028716974236
T424n2,fru,male,266.698965453561,0.0341261957266251
T424n5,fru,male,261.166543622179,0.0426225654751673
T424n6,fru,male,273.53943684067,0.0601530564160107
T424n7,fru,female,290.62901531716,0.0601483305248319
T425n1,fru,female,280.516159347174,0.0702943868864074
T425n10,fru,male,261.47058773067,0.0420828514866203
T425n11,fru,male,258.248218142933,0.0180629152332027
T425n12,fru,male,263.038687012217,0.0470263503700541
T425n13,fru,female,317.285360519517,0.0666142213317164
T425n14,fru,female,275.807835771776,0.066740418945158
T425n19,fru,male,265.444737269779,0.0476854304201542
T425n2,fru,male,255.756828951947,0.031651344073681
T425n20,fru,female,299.884792693609,0.0787345975134824
T425n21,fru,female,303.718802696032,0.0637714928390455
T425n22,fru,female,224.067886431273,0.0613952918344785
T425n3,fru,female,294.950588122071,0.0727727405775936
T425n4,fru,female,271.365272485466,0.0583647923004379
T425n5,fru,female,255.954857130879,0.0771759792716372
T425n6,fru,female,283.862415727917,0.0531567675662113
T425n7,fru,male,260.024241227621,0.037989314147642
T425n8,fru,male,266.467702629126,0.0492012289120001
T425n9,fru,male,272.295197838669,0.0309733618700812
T257n2,ix,female,268.011608372142,0.0683868156136349
T257n3,ix,female,273.825573028606,0.0725829540267241
T257n4,ix,female,274.796086014501,0.0744233817275197
T257n5,ix,female,299.224182029312,0.070936076641146
T257n6,ix,female,273.326829190908,0.0754937368337868
T257n7,ix,female,267.219427104809,0.07238461902258
T257n8,ix,female,294.503725688563,0.0837281822456963
T257n9,ix,male,272.532159162507,0.0517177990260974
T291n1,ix,female,278.536020591393,0.0917533319371299
T292n14,ix,male,253.005050454641,0.0439028192237099
T292n3,ix,female,287.173195901784,0.07713156325768
T292n4,ix,female,225.819495270989,0.0514340497104793
T292n5,ix,female,296.742312453078,0.0786724596155336
T292n9,ix,female,216.175987989449,0.0511574411158053
T299n15,ix,female,313.992150961701,0.0900559297552337
T299n16,ix,male,279.217293233146,0.0567822695394204
T299n18,ix,female,312.201501882643,0.0806997197706724
T299n21,ix,male,250.716125639692,0.0422151999213912
T300n12,ix,male,247.402506050363,0.0398611347861208
T300n14,ix,male,272.537051507578,0.0485655841406335
T300n15,ix,female,305.668302431101,0.090537267391542
T300n17,ix,female,275.563118805434,0.083682855698567
T300n18,ix,female,312.503364210869,0.0734369056843846
T300n23,ix,female,316.721047962118,0.0857204965600719
T300n25,ix,female,300.839481338101,0.0853581386739299
T300n27,ix,male,278.47819694547,0.0184405776038587
T300n4,ix,male,252.083665715369,0.0290586006250095
T300n5,ix,male,248.651474066726,0.0630510803088586
T300n6,ix,male,256.9375194262,0.0771385976523665
T300n7,ix,male,226.460690726767,0.0660420346323108
T300n8,ix,female,292.854493092465,0.0752318851858772
T300n9,ix,female,265.502322234665,0.0663511438594865
T352n1,ix,female,321.555978270935,0.0737124994957013
T352n15,ix,male,273.404485050589,0.0510524457844464
T352n16,ix,female,292.71643456234,0.0821951583845412
T352n17,ix,female,303.989063969596,0.0696374522161505
T352n19,ix,female,241.360797293641,0.0612966148330847
T352n2,ix,female,328.302002492962,0.0643906229211701
T352n3,ix,male,250.45899041116,0.0405673601540583
T352n4,ix,female,283.696033560178,0.0687090950866283
