sample_name,individual,instar,day,sex,tissue,plate,dsx1,dsx6,fru,ef1a
002_L4_d5_vis,002,L4,d5, j,viscera,1,2.517327551,0,4.740808459,6.795171464
003_L4_d5_vis,003,L4,d5, j,viscera,1,3.020966992,1.231287374,2.79276317,4.486481659
004_L4_d5_vis,004,L4,d5, j,viscera,1,2.147823954,2.844527082,3.283800466,5.351221277
005_L4_d5_vis,005,L4,d5, j,viscera,1,2.31095181,2.404794379,3.322377408,5.275426122
006_L4_d5_vis,006,L4,d5, j,viscera,1,2.063132042,2.05478968,3.070795862,5.115105423
007_L4_d5_vis,007,L4,d5, j,viscera,1,2.490924722,0,3.038348704,4.947473037
010_L5_d1_F_vis,010,L5,d1,f,viscera,2,2.613538361,2.374119092,3.587166124,5.577279556
012_L5_d1_F_vis,012,L5,d1,f,viscera,2,2.638713814,1.109359384,4.168044286,6.236933402
015_L5_d1_F_vis,015,L5,d1,f,viscera,2,2.811780267,0,4.030899275,6.064332447
017_L5_d1_F_vis,017,L5,d1,f,viscera,2,2.913275169,1.990744416,3.991303848,5.669072778
021_L5_d1_F_vis,021,L5,d1,f,viscera,2,2.621409483,0,4.296159617,6.325657602
022_L5_d1_F_vis,022,L5,d1,f,viscera,2,2.905313312,1.233214396,3.915658585,5.824543026
008_L5_d1_M_vis,008,L5,d1,m,viscera,2,2.71091531,3.363466677,3.113972392,4.844636959
009_L5_d1_M_vis,009,L5,d1,m,viscera,3,3.163469653,1.114251933,3.943214266,5.76304832
011_L5_d1_M_vis,011,L5,d1,m,viscera,3,2.612421584,1.371395522,3.988040643,6.153046464
013_L5_d1_M_vis,013,L5,d1,m,viscera,3,0,0,2.014364599,3.908015463
014_L5_d1_M_vis,014,L5,d1,m,viscera,3,2.959032993,0.287950585,3.986836501,6.07465198
016_L5_d1_M_vis,016,L5,d1,m,viscera,3,2.542455751,0.507196286,3.538582409,5.533311413
023_L5_d6_F_vis,023,L5,d6,f,viscera,3,2.591393356,0,3.914037131,5.71679489
024_L5_d6_F_vis,024,L5,d6,f,viscera,3,3.173520171,3.626840256,3.959373506,5.477676952
025_L5_d6_F_vis,025,L5,d6,f,viscera,3,1.89874647,2.824027213,2.745064139,4.443023372
026_L5_d6_F_vis,026,L5,d6,f,viscera,3,0.400907785,1.022350723,2.027759921,3.497546417
027_L5_d6_M_vis,027,L5,d6,m,viscera,4,1.654372644,2.815752431,2.337375525,3.836029514
028_L5_d6_M_vis,028,L5,d6,m,viscera,4,2.213312472,2.871460938,3.278340703,4.700452337
029_L5_d6_M_vis,029,L5,d6,m,viscera,4,2.375368707,3.039573137,3.16388822,4.591839757
030_L5_d6_M_vis,030,L5,d6,m,viscera,4,2.1104669,2.946876251,3.15589501,4.676043685
031_L5_d6_M_vis,031,L5,d6,m,viscera,4,1.979842606,2.629139184,3.13617589,4.444415583
032_L5_d6_M_vis,032,L5,d6,m,viscera,4,2.168384516,3.359769984,2.685511562,3.826114584
